Cho Nam-ch'eol,1923,Korean,"died in 2006; ""the father of Korean pro Go"", traveled to Japan in 1937 to study with Kitani Minoru, founded the korean go association in 1945 (spent the war in Japan apparently).  9d in 1982, uncle of Cho Chikun and Cho Shoen.  Name is also spelled ""Cho N",149,,,,3,5,3,6,3,6,4,6,1,4,8,16,13,10,12,9,7,5,8,7,3,1,,,,,,,2,2,,3,,,,,,,2,,,,,,,,,,,,,,
Cho Sonjin,1970,Japanese,"korean-born but always Nihon Ki-in player, 9d in 1998.  Has won Honinbo (1999), dethroning Cho CHikun's 10 consecutive titles.",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,4,4,2,2,1,1,2,2,7,8,13,14,21,21,8,7,9,10,10,5,5
Cho U,1980,Japanese,"9d; from Taiwan, but lived in Japan since 10 years old; Nihon Ki-in player.  Chinese name: ""Zhang Xu"".  Pupil of Rin Kaiho, son-in-law of Kobayashi Koichi. First pro to simultaneously hold 5 titles. ",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,1,4,16,18,18,32,34,32,30,36,32,24
Ding Wei,1979,Chinese,9d in 2007,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,8,11,16,11,16,26,9,10,6,2,17,20,17,14
Dong Yan,1977,Chinese,7d in 2000,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,5,5,6,11,4,11,19,7,6,1,1,3,8,3,2
Duan Rong,1972,Chinese,7d in 2000,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,2,2,,13,6,6,8,1,,7,1,5,3,3,1,,1,
Fang Jie,1970,Chinese,7d in 1996,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,4,5,5,17,13,7,2,1,2,3,,7,,1,2,3,,
Fang Tianfeng,1962,Chinese ,"4d in 1982, 8d in 1989",72,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,8,3,4,3,6,,3,2,1,4,7,5,5,8,,3,5,3,,,,,,,
Feng Yun,1966,Chinese,"female, 9d in 1995",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,2,2,1,,1,4,4,6,2,6,13,16,12,9,,1,2,4,,5,2,1,1,,1
Fujisawa Hideyuki,1925,Japanese,"aka ""Fujisawa Shuko""; turned pro in 1940, 9d in 1963, retired in 1998, died in 2009.  Uncle of Fujisawa Hosai.  Active in promoting Go in China in early 1980s.",392,6,,5,8,9,11,15,13,4,7,16,13,19,13,14,15,13,9,9,8,11,11,13,6,7,8,3,8,10,7,5,4,3,6,7,10,14,12,8,8,5,6,4,4,3,,,,1,,,,1,,,
Fujisawa Hosai,1919,Japanese,"originally Fujisawa Kuranosuke, 9d in 1949, obsessed with beating Go Seigen",183,5,4,5,11,6,7,9,9,13,7,13,9,4,11,5,12,3,4,7,7,5,10,7,1,,1,4,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Go Seigen,1914,Chinese,played with Nihon-Kiin in Japan,99,4,6,9,5,8,4,7,9,3,3,7,2,,2,4,5,3,2,7,6,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gu Li,1982,Chinese,9d in 2006,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,4,4,29,17,37,29,24,39,31,43,33
Gu Lingyi,1991,Chinese,5d in 2007,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,3,6,2,18,26,27
Ha Ch'an-seok,1949,Korean,8d in 1987,91,,,,,,,,,,,,,,,,,,,1,1,4,1,4,2,1,1,2,1,,,1,13,21,9,4,3,1,4,3,2,2,,,,1,,,,4,1,1,1,2,,,
Handa Dogen,1915,Japanese,"9d in 1959, died 1974",70,2,2,4,2,2,2,3,6,15,10,6,3,2,2,2,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
